Job Title,Job Description,Time Posted,Full / Part,Pay,Distance,Company,Location
HTML / CSS Production Specialist,"This position is open as of 4/25/2017. Front End Developer - 2016 Best Places to Work Based in Baltimore, MD, we are independent financial media company who provides economic commentary through online and print publications. Due to growth and demand for o...",3 hours ago,Full-Time,$65k - $75k/year,Nearby,CyberCoders,"Baltimore, MD"
Senior Software Engineer,"This position is open as of 4/25/2017. Senior Software Engineer-Photography startup If you are a Senior Software Engineer with experience, please read on! Top Reasons to Work with Us We are a very young company with fewer than 10 employees looking for peo...",2 days ago,Full-Time,$80k - $110k/year,Nearby,CyberCoders,"Baltimore, MD"
Sr. Java Web Services Developer,"This position is open as of 4/25/2017. Senior Java Developer If you are a Senior Java Developer with experience creating back-end enterprise web applications, please read on! Located in Evansville IN, with offices around the country, we are a globally rec...",3 days ago,Full-Time,$85k - $110k/year,Nearby,CyberCoders,"Baltimore, MD"
Senior Quality Engineer,"RESPONSIBILITIES: Kforce has a client seeking a Senior Quality Engineer in Baltimore, Maryland (MD). Responsibilities Include: Quality Planning: Participating with technical team in the APQP process in accordance with customer requirements Developing proc...",4 days ago,Full-Time,,Nearby,Kforce Technology,"Baltimore, MD"
Technical PM / Oracle Data Warehouse Architect,"Our firm has achieved significant growth and is regularly recognized as a Best Place to Work both nationally and locally in our communities. We are a collaborative, entrepreneurial firm that takes pride in our people, culture, clients and work-life balanc...",7 days ago,Contractor,$75.00 - $100.00/hour,Nearby,North Highland,"Baltimore, MD"
Informatics Training & EHR Support Specialist,What You Will Do: General Summary Under direct supervision supports the Portfolio Electronic Health Record training activities in the Department of Clinical Informatics for the University of Maryland Medical System. Provide direct technical support for cl...,2 weeks ago,Full-Time,,Nearby,University of Maryland Medical System,"Baltimore, MD"
Health Care Information Analyst II,"What You Will Do: General Summary Under limited supervision, compiles and analyzes information to support effective and efficient utilization of resources and to assess in clinical quality improvement and nursing research. Acts as a technical lead in mana...",3 weeks ago,Full-Time,,Nearby,University of Maryland Medical System,"Baltimore, MD"
Systems Analyst,"Ref ID: 03332-0009218845 Classification: Systems Analyst Compensation: DOE Ideal candidates should have at least 3+ years of experience building Epic Prelude and Grand Central applications, including experience building departments and handling registrati...",3 weeks ago,Full-Time,,Nearby,Robert Half Technology,"Baltimore, MD"
ISP Equipment Engineer,"The Equipment Engineer is responsible for planning and engineering the installation of network and telecommunications equipment at Lightower facilities, Carrier Hotels, and ILEC Central Offices. Responsible for ensuring that the assigned duties meet or ex...",3 weeks ago,Full-Time,,Nearby,Lightower Fiber Networks,"Baltimore, MD"
"Computer Science and Cybersecurity, 10 month Faculty, LEON/PRIN","College of Southern Maryland invites applications for a 10-month, non-tenured track Computer Science and Cybersecurity faculty member at the Leonardtown and Prince Frederick campuses. The faculty member will be responsible for the coordination, planning,...",2 weeks ago,Full-Time,,Nearby,College of Southern Maryland,"Baltimore, MD"
